fast,slow,Return,Sharpe,Drawdown,Profit Factor,Win Rate,Trades
5,50,7.8796026855444845,1.6211352721218053,4.494652583696354,0.0,100.0,1
10,50,5.74648491666061,1.2300224045391457,4.49465258369636,0.0,100.0,1
20,50,4.476239479628408,1.0058303256296182,4.494652583696348,0.0,100.0,1
10,30,4.337076186736022,1.0395730257716098,4.606650297049808,2.8387019331045282,50.0,2
5,30,4.069085760101476,0.9946758650044907,6.845183227771525,2.549581783458517,33.33333333333333,3
20,30,1.2637488850777867,0.3341569567655728,5.5154422441207,1.6789472695777052,50.0,2
5,100,0.0,0.0,0.0,0.0,0.0,0
10,100,0.0,0.0,0.0,0.0,0.0,0
20,100,0.0,0.0,0.0,0.0,0.0,0
